name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,success
Ondine Biomedical Inc.,http://ondinebio.com,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,0
One Inc.,http://whatis1.com,Mobile,1150050,operating,USA,CA,SF Bay Area,San Francisco,3,0
ZenChef,http://zenchef.com/en/,Local Businesses|Restaurants,10661772.9,operating,FRA,A8,Paris,Paris,5,1
Redox,http://www.redoxengine.com,Health Care|Health Care Information Technology|Hospitals,4000000,operating,USA,WI,Madison,Madison,2,1
One Block Off the Grid (1BOG),http://1bog.org,Clean Technology|Residential Solar,5000000,closed,USA,CA,SF Bay Area,San Francisco,1,1
Babyscripts,http://www.getbabyscripts.com,Health and Wellness|Mobile Health,2100000,operating,USA,DC,"Washington, D.C.",Washington,3,0
XDN/3Crowd Technologies,http://www.3crowd.com,Enterprise Software,7289000,acquired,USA,CA,SF Bay Area,San Mateo,3,1
Nimble VR,http://nimblevr.com/,Software,2249999,acquired,USA,CA,SF Bay Area,San Francisco,2,0
Loctronix,http://www.loctronix.com,Software,1000000,operating,USA,WA,Seattle,Woodinville,1,0
ChartRequest,http://www.chartrequest.com,Software,740000,operating,USA,NY,New York City,New York,2,0
Shoppable,http://www.Shoppable.com/,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,1500000,operating,USA,NY,New York City,New York,2,0
Applauze,http://applauze.com,Mobile|Publishing,10450000,operating,USA,CA,SF Bay Area,Mountain View,3,1
A Plus,http://www.aplus.com/,Digital Media|News|Social Media,3500000,operating,USA,NY,New York City,New York,1,1
A-76 Technologies,http://www.a76tech.com/,Chemicals,2500000,operating,USA,TX,Houston,Houston,1,0
A&A Manufacturing,http://www.aaman.com/,Innovation Engineering|Manufacturing|Water Purification,110000000,operating,USA,WI,Milwaukee,New Berlin,1,1
A Bit Lucky,http://www.abitlucky.com,Games|Social Games,10312103,closed,USA,CA,SF Bay Area,San Mateo,2,1
A Class Limos,https://www.aclass-limos.com,Limousines,45000,operating,USA,FL,Ft. Lauderdale,Pompano Beach,1,0
A Curated World,http://kaymcgowan.com,E-Commerce,50000,operating,USA,RI,Providence,Providence,1,0
A Dance for Me,http://www.adanceforme.com/,Media|News|Photo Sharing|Video,1090000,operating,USA,MT,Missoula,Missoula,1,0
A Family First Community Services,http://affcs.net,Health and Wellness,500000,operating,USA,GA,Atlanta,Atlanta,1,0
A&G Pharmaceutical,http://www.agpharma.com,Biotechnology,2100002,operating,USA,MD,Baltimore,Columbia,2,0
A-Gas,http://www.agas.com,Clean Technology,115837966,operating,GBR,B7,Bristol,Bristol,1,1
A&H Software House,http://www.luxriot.com/,Security,1500000,operating,USA,NY,Long Island,Copiague,1,0
A la Mobile,http://www.a-la-mobile.com,Mobile,14300000,operating,USA,CA,SF Bay Area,San Ramon,3,1
A-Life Medical,http://www.alifemedical.com,Biotechnology,3000000,acquired,USA,CA,San Diego,San Diego,1,0
A Little Easier Recovery,http://www.alittleeasierrecovery.org,Charity|Financial Services|Medical,50000,operating,USA,MA,Boston,North Andover,1,0
A.P.Pharma,http://appharma.com,Biotechnology,32142818,operating,USA,CA,SF Bay Area,Redwood City,2,1
A Place for Rover,http://www.aplaceforrover.com/,Internet,15999994,operating,USA,WA,Seattle,Seattle,1,1
A-Vu Media,http://www.avumedia.com,Health and Wellness,250000,operating,USA,MN,Minneapolis,Minnetonka,1,0
A1 Software Group Inc (Selly Automotive),http://www.a1softwaregroup.com,Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,20000,operating,USA,CA,SF Bay Area,San Francisco,2,0
A10 Networks,http://www.a10networks.com,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,118000000,ipo,USA,CA,SF Bay Area,San Jose,4,1
A123 Systems,http://a123systems.com,Batteries|Clean Technology|Energy Storage|Mobile,502860000,ipo,USA,MA,Worcester,Westborough,8,1
A2Zlogix,http://a2zlogix.com,3D|Advertising|Content|Content Creators|Content Delivery|Mobile,25000000,operating,USA,NJ,Newark,Edison,1,1
AAIPharma Services,http://www.aaipharma.com,Biotechnology,20000000,operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1
AAMPP,http://www.aampp.net,Music|Social Network Media,350000,operating,USA,FL,Ft. Lauderdale,Hollywood,1,0
Aarden Pharmaceuticals,http://aardenpharma.com,Biotechnology,500000,closed,USA,IN,Indianapolis,Indianapolis,1,0
Aardvark,http://googleblog.blogspot.com/2011/09/fall-spring-clean.html,Search,6000000,acquired,USA,CA,SF Bay Area,San Francisco,2,1
Aarohi communication,http://www.aarohi.net/,Application Platforms|Communications Infrastructure|Storage,14000000,acquired,USA,CA,SF Bay Area,San Jose,3,1
Aasonn,http://aasonn.com,Human Resources,20000000,operating,USA,IL,Chicago,Naperville,1,1
Aastrom Biosciences,http://www.aastrom.com,Biotechnology,40000000,ipo,USA,MI,Detroit,Ann Arbor,1,1
AAT Communications,http://www.aatcomm.com/,Telecommunications,180000000,operating,USA,NY,New York City,Staten Island,1,1
AAVLife,http://aavlife.com,Health Care Information Technology|Medical|Therapeutics,12000000,operating,FRA,A8,Paris,Paris,1,1
AB Tasty,http://en.abtasty.com,Advertising|Analytics|E-Commerce|Optimization|Testing,1412834,operating,FRA,A8,Paris,Paris,1,0
Abacast,http://www.abacast.com,Analytics,500000,acquired,USA,WA,Seattle,Vancouver,1,0
Abacus e-Media,http://abacusemedia.com,Software,3409315,operating,GBR,H9,London,London,1,0
Abacus,http://abacus.com,SaaS|Software,3500000,operating,USA,NY,New York City,New York,2,1
Abakan,http://www.abakaninc.com,Clean Technology,4211031,operating,USA,FL,Miami,Miami,6,1
Abakus,http://abakus.me,Advertising|Advertising Platforms|Optimization|Software,825000,operating,USA,CA,SF Bay Area,Emeryville,1,0
Abaris,https://www.myabaris.com,Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software,720000,operating,USA,PA,Philadelphia,Philadelphia,2,0
ABARTA Oil & Gas,http://www.abartaenergy.com/,Oil & Gas,24750000,operating,USA,PA,Pittsburgh,Pittsburgh,1,1
Abattis Bioceuticals,http://abattis.com,Biotechnology,400988,ipo,CAN,BC,Vancouver,Vancouver,3,0
Abaxia,http://www.abaxia.com,Software,1770000,acquired,FRA,A8,Neuilly-sur-seine,Neuilly-sur-seine,1,0
AbbeyPost,http://abbeypost.com,E-Commerce|Fashion|Women,875000,acquired,USA,CA,SF Bay Area,San Mateo,5,0
Abbott Labs,http://www.abbott.com,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000,ipo,USA,IL,Chicago,Des Plaines,2,1
Abcam,http://abcam.com,Biotechnology|Events,78799653,operating,GBR,C3,London,Cambridge,2,1
AbCelex Technologies,http://www.abcelex.com/,Biotechnology,2000000,operating,CAN,ON,Toronto,Mississauga,1,0
Abcellute,http://www.abcellute.com,Biotechnology,805908,closed,GBR,H9,London,London,1,0
Abcodia,http://abcodia.com,Biotechnology,10207905,operating,GBR,H9,London,London,4,1
abeo,http://abeo.com,Health Care,2012700,operating,USA,TX,Dallas,Dallas,1,0
Abeona Therapeutics,http://abeonatherapeutics.com,Biotechnology,12850000,operating,USA,OH,Cleveland,Cleveland,3,1
Abe's Market,http://www.abesmarket.com,E-Commerce,19148000,operating,USA,IL,Chicago,Chicago,5,1
AbGenomics,http://abgenomics.com,Biotechnology,39610000,operating,USA,CA,SF Bay Area,Los Altos,3,1
Abide Therapeutics,http://abidetx.com,Biotechnology,2250180,operating,USA,NJ,Newark,Princeton,1,0
Abigail Stewart,http://www.abigailstewart.com/,Fashion,60000,operating,USA,NY,New York City,New York,1,0
Ability Dynamics,http://www.abilitydynamics.com,Health Care,1500000,operating,USA,AZ,Phoenix,Tempe,1,0
ABILITY Network,http://www.abilitynetwork.com,Health Care,583000000,operating,USA,MN,Minneapolis,Minneapolis,4,1
AbilTo,http://www.abilto.com,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,21000000,operating,USA,NY,New York City,New York,3,1
Abine,http://www.abine.com,Curated Web|Privacy,6467283,operating,USA,MA,Boston,Boston,1,1
Abingdon Health,http://www.abingdon-health.com,Health Care|Health Diagnostics,12853396,operating,GBR,K2,London,Oxford,3,1
aBioBot,http://abiobot.org/,Biotechnology|Robotics|Technology,50000,operating,USA,OH,"Columbus, Ohio",Dublin,1,0
Abiquo Group,http://www.abiquo.com,Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting,26898770,operating,USA,CA,SF Bay Area,Redwood City,10,1
aBIZinaBOX,http://abizinabox.com,Accounting|Consulting|CRM|Marketing Automation|Project Management,500000,operating,USA,IL,Chicago,Evanston,1,0
Ablative Solutions,http://ablativesolutions.com,Biotechnology,42980577,operating,USA,MI,Kalamazoo,Kalamazoo,7,1
Able Lending,https://www.ablelending.com/,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,17500000,operating,USA,TX,Austin,Austin,4,1
Able Device,http://abledevice.com,M2M|Software,50000,operating,USA,NC,Raleigh,Raleigh,1,0
Able Imaging,http://www.ableimaging.com,Health and Wellness,500000,operating,USA,NJ,Philadelphia,Cherry Hill,1,0
Able Planet,http://www.ableplanet.com,Hardware + Software,12005448,operating,USA,CO,Denver,Wheat Ridge,5,1
AbleSky,http://ablesky.com,Software,1273000,operating,USA,CA,SF Bay Area,Mountain View,1,0
Ablexis,http://www.ablexis.com,Biotechnology,12000000,operating,USA,CA,SF Bay Area,San Francisco,1,1
ablio,http://ablio.com,Local|Services|Translation,250000,operating,USA,CA,Los Angeles,Westlake Village,1,0
ABO Data,http://PLATONE.IO,Enterprise Software,1000000,operating,USA,TX,TX - Other,Italy,1,0
abode,http://www.goabode.com,Home Automation|Home Owners|Security,1000000,operating,USA,CA,SF Bay Area,Palo Alto,1,0
ABODO,http://www.abodo.com,Real Estate|Search,2518000,operating,USA,WI,Madison,Madison,4,0
Abound Logic,http://www.aboundlogic.com,Design|Manufacturing|Semiconductors,3705137,operating,USA,CA,SF Bay Area,Santa Clara,1,1
Abound Solar,http://www.abound.com,Clean Technology|Solar,510000000,closed,USA,CO,CO - Other,Loveland,2,1
aboutLife,https://aboutlife.com,Big Data|Consumers|Personal Finance|Retirement,3000000,operating,USA,CA,SF Bay Area,San Francisco,2,0
about.me,http://about.me,Curated Web|Identity|Identity Management,17087500,operating,USA,CA,SF Bay Area,San Francisco,3,1
AboutOne,http://www.AboutOne.com,Contact Management|Curated Web|Events,4439407,operating,USA,PA,Philadelphia,Paoli,6,1
AboutUs.org,http://www.aboutus.org,Curated Web,7618249,operating,USA,OR,"Portland, Oregon",Portland,3,1
ABOVE Solutions,http://above-inc.com,Software,450000,operating,USA,MA,Boston,Lexington,1,0
ABPathfinder,http://www.abpathfinder.com,Health and Wellness,2810000,operating,USA,KS,Kansas City,Overland Park,3,0
Abra,http://goabra.com,Financial Services,14000000,operating,USA,CA,SF Bay Area,Mountain View,2,1
Abroad101,http://www.studyabroad101.com,Education,50000,operating,USA,MA,Boston,Boston,1,0
ABS,http://advbiosurf.com,Health Care,132500,operating,USA,MN,Minneapolis,Minnetonka,1,0
ABSMaterials,http://www.absmaterials.com,Clean Technology,4500000,operating,USA,OH,Akron - Canton,Wooster,2,1
AbsolutData,http://www.absolutdata.com,Analytics,20000000,operating,USA,CA,SF Bay Area,Alameda,1,1
Absolute Antibody,http://absoluteantibody.com,Health and Wellness|Health Diagnostics,1287963,operating,GBR,M3,GBR - Other,Upper Heyford,1,0
Absolute Commerce,http://absolutecommerce.com/,Software,200000,operating,USA,RI,Providence,Providence,1,0
Absorption Pharmaceuticals,http://promescent.com,Biotechnology,1200000,operating,USA,CA,Anaheim,Huntington Beach,1,0
Absynth Biologics,http://absynthbiologics.co.uk,Biotechnology,1663801.119,operating,GBR,L9,Sheffield,Sheffield,2,0
ABT Molecular Imaging,http://advancedbiomarker.com,Health Care,28364818,operating,USA,TN,Knoxville,Knoxville,10,1
Abtech Holdings,http://abtechindustries.com/,Engineering Firms|Environmental Innovation|Technology,1400000,ipo,USA,AZ,Phoenix,Scottsdale,1,0
Abundance Generation,http://abundancegeneration.com,Finance,4545754,operating,GBR,H9,London,London,1,1
FashionAde.com (Abundant Closet),http://www.FashionAde.com,E-Commerce,60000,closed,USA,GA,Atlanta,Atlanta,1,0
abusix,http://abusix.com,B2B|Internet Service Providers|Security|Software,1300000,operating,USA,CA,SF Bay Area,San Francisco,1,0
Abzena,http://abzena.com,Biotechnology,64640151.58,ipo,GBR,H9,London,London,2,1
A.C. Moore,http://acmoore.com,E-Commerce,10000000,ipo,USA,NJ,NJ - Other,Berlin,1,1
Acacia,http://angel.co/acacia,Apps|Gamification|iOS|Mobile,15000,operating,USA,TN,Nashville,Nashville,1,0
Acacia Communications,http://www.acacia-inc.com,Web Hosting,23000000,operating,USA,MA,Boston,Maynard,2,1
Acacia Interactive,http://investing.businessweek.com,Software,762000,operating,USA,TN,Nashville,Nashville,1,0
Acacia Living,http://acacialiving.com,Health and Wellness,2338650,operating,USA,AZ,Phoenix,Scottsdale,1,0
Acacia Pharma,http://www.acaciapharma.com,Biotechnology,33500000,operating,GBR,C3,London,Cambridge,2,1
Acacia Research,http://www.acaciaresearch.com,Business Services|Intellectual Asset Management|Licensing,255100000,ipo,USA,CA,Anaheim,Newport Beach,3,1
Acacia Trading,https://www.tradeacacia.com/,Bitcoin|Cloud Computing|Trading,3300,operating,USA,CA,SF Bay Area,Menlo Park,1,0
Academia,http://academia.com.co,Curated Web|EdTech|Education|Information Technology|Language Learning,11017508,operating,SVN,E1,SVN - Other,Col,1,1
Academia.edu,http://Academia.edu,Social Media,17800000,operating,USA,CA,SF Bay Area,San Francisco,4,1
Academia RFID,http://rfidacademia.com,Consulting,4499999,operating,CAN,QC,Montreal,Montréal,1,1
AcademixDirect,http://www.academixdirect.com,Advertising|Education|Lead Generation|Portals,10000000,operating,USA,CA,SF Bay Area,Menlo Park,1,1
Academy123,http://home.nutshellmath.com/en-US/applications.htm,Education,2000000,acquired,USA,CA,Los Angeles,Westlake Village,1,0
ACADIA Pharmaceuticals,http://www.acadia-pharm.com,Biotechnology|Health Care,126385000,ipo,USA,CA,San Diego,San Diego,3,1
AcadiaSoft,http://www.acadiasoft.com,Finance,34000000,operating,USA,MA,Boston,Pembroke,2,1
ACAL Energy,http://www.acalenergy.co.uk,Clean Technology,16424363,operating,GBR,C5,Runcorn,Runcorn,3,1
Acal Enterprise Solutions,http://acalenterprisesolutions.com,Information Technology,10720178,operating,GBR,J8,Nottingham,Nottingham,1,1
Acccess Technology Solutions,http://www.accessts.com/,E-Commerce,25478613,operating,USA,UT,Salt Lake City,Provo,1,1
Accedian Networks,http://www.accedian.com,Business Services|Enterprises|Mobile|Networking|Telecommunications,31040000,operating,CAN,QC,Montreal,Montréal,3,1
Accel Diagnostics,http://acceldx.com,Diagnostics|Health Care|Health Diagnostics|Medical Devices,25000,operating,USA,PA,Pittsburgh,Pittsburgh,3,0
Accelalox,http://accelalox.com,Biotechnology,430000,operating,USA,CA,SF Bay Area,Menlo Park,1,0
AcceleCare Wound Centers,http://accelecare.com,Health Care|Hospitals|Medical,13500000,acquired,USA,WA,Seattle,Bellevue,2,1
Accelera,http://acceleramb.com/,Mobile|Technology|Wireless,3033472,operating,USA,CA,SF Bay Area,Santa Clara,2,0
Accelera Innovations,http://accelerainnovations.com,Health and Wellness,200000000,ipo,USA,IL,Chicago,Frankfort,1,1
Accelerate Diagnostics,http://acceleratediagnostics.com,Health Care|Health Diagnostics|Medical Devices,63016244,ipo,USA,AZ,Tucson,Tucson,4,1
Accelerate Mobile Apps,http://accelerate-ld.com,Mobile,150000,operating,USA,CA,SF Bay Area,Scotts Valley,1,0
Accelerated IO,http://www.pac-n-zoom.com,Software,3255325,operating,USA,OK,Tulsa,Tulsa,2,0
Accelerated Orthopedic Technologies,http://www.acceleratedorthopedics.com,Health Care,150000,closed,USA,CT,Hartford,Guilford,1,0
Accelerated Vision Group,http://acceleratedvision.com,Analytics,8500000,operating,USA,KS,Kansas City,Overland Park,2,1
Accelergy,http://www.accelergy.com,Clean Energy|Nanotechnology|Technology,25000000,operating,USA,TX,Houston,Houston,1,1
Accelerize New Media,http://www.accelerizenewmedia.com,Enterprise Software,4045500,ipo,USA,CA,Los Angeles,Los Angeles,3,1
Acceleron Pharma,http://www.acceleronpharma.com,Biotechnology,113701127,ipo,USA,MA,Boston,Cambridge,6,1
AccelGolf,http://www.accelgolf.com,Apps|Finance|Mobile|Sports,457282,closed,USA,MA,Boston,Cambridge,7,0
Accelitec,http://www.accelitec.com,Software,5705841,operating,USA,WA,Seattle,Bellingham,3,1
Accellion,http://www.accellion.com,Enterprise Software|Security,13410901,operating,USA,CA,SF Bay Area,Palo Alto,2,1
Accellos,http://www.accellos.com,Logistics|Software|Storage|Supply Chain Management|Transportation,28500000,operating,USA,CO,Colorado Springs,Colorado Springs,2,1
AccelOne,http://accelone.com,Software,225000,closed,USA,WA,Seattle,Kirkland,1,0
AccelOps,http://www.accelops.com,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,25000000,operating,USA,CA,SF Bay Area,Santa Clara,2,1
Accengage,http://www.accengage.com/,Mobile|Mobile Analytics,3000000,operating,FRA,A8,Paris,Paris,1,0
Accent Media Limited,http://accent.media,Domains|Internet|Ticketing,9280000,operating,GBR,H9,London,London,4,1
Accentia Biopharmaceuticals Inc,http://accentia.net,Biotechnology|Health and Wellness,775000,ipo,USA,FL,Tampa,Tampa,2,0
Accenx Technologies,http://www.accenx.com,Software,4500000,acquired,USA,CA,Anaheim,Irvine,2,1
Acceptd,http://getacceptd.com,Software,3020000,operating,USA,OH,"Columbus, Ohio",Columbus,3,0
Accera,http://www.accerapharma.com,Biotechnology,138581610,operating,USA,CO,Denver,Broomfield,5,1
Accertify,http://www.accertify.com,Credit Cards|Fraud Detection|Security,7131124,acquired,USA,IL,Chicago,Itasca,3,1
Access Closure,http://www.accessclosure.com,Health Care,13793098,acquired,USA,CA,SF Bay Area,Mountain View,3,1
Access Integrated Healthcare,http://www.accessih.com,Health and Wellness|Health Care|Services,58500000,operating,USA,CA,Los Angeles,Los Angeles,2,1
Access Intelligence,http://www.accessintel.com,News,7380000,operating,USA,MD,"Washington, D.C.",Rockville,2,1
Access Media 3,http://www.am3inc.com,Security,30000000,operating,USA,IL,IL - Other,Saybrook,1,1
Access MediQuip,http://accessmediquip.com,Health Care,46900000,operating,USA,FL,Orlando,Lake Mary,1,1
Access Mobile,http://accessmobileinc.com,Mobile,752500,operating,USA,CO,Denver,Denver,3,0
Access Northeast,http://www.axsne.com,Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting,1999998,acquired,USA,MA,Boston,Marlborough,1,0
Access Pharmaceuticals,http://accesspharma.com,Biotechnology,15581502,closed,USA,TX,Dallas,Dallas,2,1
Access Psychiatry Solutions,http://accesspsych.com,Biotechnology,250000,operating,USA,WA,Seattle,Shoreline,1,0
Access Scientific,http://www.the-wand.com,Health Care,21376001,acquired,USA,CA,San Diego,San Diego,6,1
AccessSportsMedia.com,http://accesssportsmedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,24250000,operating,USA,CA,Los Angeles,Los Angeles,3,1
Access Systems,http://www.accsys-inc.com,Business Services|Customer Service|Services,1300000,operating,USA,VA,"Washington, D.C.",Reston,1,0
Accessbio,http://accessbio.net,Biotechnology,12000000,operating,USA,NJ,Newark,Somerset,1,1
AccessData,http://www.accessdata.com,Enterprise Software,45000000,operating,USA,UT,Salt Lake City,Lindon,2,1
Inherited Health,http://www.InheritedHealth.com,Health and Wellness,1155000,acquired,USA,CA,Los Angeles,Los Angeles,2,0
AccessLan Communications,http://www.accesslan.com/,Computers|Internet|Networking,16000000,operating,USA,CA,SF Bay Area,San Jose,1,1
Access Network,http://www.accessnetwork.com,Advertising,3200000,operating,USA,NY,New York City,New York,2,0
Accio Energy,http://www.accioenergy.com,Clean Technology,4500000,operating,USA,MI,Detroit,Ann Arbor,1,1
Accion,http://www.accion.org,Financial Services|Nonprofits|Social Fundraising,23000000,operating,USA,MA,Boston,Boston,2,1
Accion Systems,http://www.accion-systems.com,Aerospace|Manufacturing|New Product Development,2000000,operating,USA,MA,Boston,Cambridge,1,0
Accion Texas,http://acciontexas.org,Nonprofits,2800000,operating,USA,TX,San Antonio,San Antonio,1,0
Accipiter,http://www.accipiter.com/,Advertising|Internet|Services,5500000,operating,USA,NC,Raleigh,Raleigh,3,1
Accipiter Radar,http://accipiterradar.com,Homeland Security|Security|Tracking,4700000,operating,USA,NY,NY - Other,Orchard Park,1,1
Accipiter Systems,http://www.accipitersystems.com,Analytics,4979639,operating,USA,PA,Pittsburgh,Wexford,4,1
Acclaimd,http://www.acclaimd.com,Analytics|Career Management|Recruiting|Social Recruiting,90000,operating,USA,OH,"Columbus, Ohio",Columbus,2,0
Acclarent,http://www.acclarent.com,Biotechnology|Medical,35000000,acquired,USA,CA,SF Bay Area,Menlo Park,1,1
Acclaris Holdings,http://www.acclaris.com/,Development Platforms|Health Care|Software,5000000,acquired,USA,FL,Tampa,Tampa,1,1
Acco Brands,http://www.accobrands.com/acco/us/us/home.aspx,Hardware + Software,10000000,ipo,USA,IL,Chicago,Lake Zurich,1,1
ACCO Semiconductor,http://www.acco-semi.com,Semiconductors,33331814,operating,USA,CA,SF Bay Area,Sunnyvale,3,1
Accolade,http://www.accolade.com,Health and Wellness|Health Care|Healthcare Services,96244444,operating,USA,PA,Philadelphia,Plymouth Meeting,6,1
Accompany,https://www.accompany.com,3D|Social Media|Technology,20600000,operating,USA,CA,SF Bay Area,Los Altos,2,1
Accord Biomaterials,http://accordbiomaterials.com,Biotechnology,1200000,operating,USA,MI,Detroit,Ann Arbor,1,0
Accordent Technologies,http://www.accordent.com,Consulting,4000000,acquired,USA,CA,Los Angeles,El Segundo,1,1
Accordion Health,https://accordionhealth.com,Big Data Analytics|Health Care Information Technology|SaaS,150000,closed,USA,TX,Austin,Austin,1,0
Accountable,http://www.accountablehq.com,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,158000,operating,USA,SC,SC - Other,Texas,2,0
AccountNow,http://accountnow.com,Credit|Finance|Financial Services|Personal Finance,34072000,operating,USA,CA,SF Bay Area,San Ramon,4,1
Accredible,http://www.accredible.com,Colleges|Education|Recruiting,150000,operating,USA,CA,SF Bay Area,Palo Alto,2,0
Accreon,http://www.accreon.com/,Software,5500000,operating,USA,MA,Boston,Boston,1,1
Accriva Diagnostics,http://accriva.com,Medical Devices,15470704,operating,USA,CA,San Diego,San Diego,2,1
Accruent,http://www.accruent.com,Enterprise Software,32000000,operating,USA,CA,Los Angeles,Santa Monica,2,1
Accruit,http://www.accruit.com,Software,3315000,operating,USA,CO,Denver,Denver,1,0
Accu-Break Pharmaceuticals,http://accubreakpharmaceuticals.com,Biotechnology,6650000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,2,1
AccuBuild IT,http://accu-build.com/,Construction,4000000,operating,USA,TX,Austin,Georgetown,2,1
Accudial Pharmaceutical,http://accudialpharmaceutical.com,Biotechnology,12024769,operating,USA,FL,Palm Beaches,Boca Raton,3,1
AccuDraft,http://www.accudraft.com,Software,650000,operating,USA,FL,Orlando,Lake Mary,1,0
Accuhealth Partners,http://colonprepcenter.com,Health and Wellness,760000,operating,USA,KS,Kansas City,Olathe,1,0
Accuitis,http://accuitis.com/,Health and Wellness,1495000,operating,USA,GA,Atlanta,Cumming,2,0
Acculitx,http://www.acculitx.com/,Information Technology,1000000,operating,USA,CA,San Diego,San Diego,1,0
Accumen,http://www.accumen.com/,Health Care|Hospitals,6700000,operating,USA,CA,San Diego,San Diego,1,1
Accumetrics,http://www.accumetrics.com,Biotechnology,110640466,acquired,USA,CA,San Diego,San Diego,9,1
Accumuli Security,http://www.accumuli.com,Content|Events|Security|Software|Training,8033458,operating,GBR,F2,London,Basingstoke,1,1
AccuNostics,http://www.accunostics.co.uk,Health Care|Health Diagnostics,6321095,operating,GBR,V6,GBR - Other,Forres,1,1
Accuradio,http://www.accuradio.com/,Internet Radio Market,2500000,operating,USA,IL,Chicago,Chicago,1,0
Accurate Group,http://accurategroup.com,Real Estate,67000000,operating,USA,NC,Charlotte,Charlotte,4,1
Accurence,http://www.accurence.com,Software,4277507,operating,USA,CO,Denver,Westminster,2,1
AccuRev,http://www.accurev.com,Software,2100000,operating,USA,MA,Boston,Concord,1,0
Accuri Cytometers,http://www.accuricytometers.com,Biotechnology,32655000,operating,USA,MI,Detroit,Ann Arbor,8,1
AccurIC,http://www.accuric.com,Hardware + Software,329695,operating,GBR,Q4,Worcester,Worcester,1,0
Pegasus Imaging Corporation,http://www.accusoft.com,Software,25000,operating,USA,FL,Tampa,Tampa,1,0
AccuTherm Systems,http://accumedsystemsinc.com,Hardware + Software,200000,operating,USA,MI,Detroit,Ann Arbor,1,0
Accutrainee,http://www.accutrainee.com/,Legal|Outsourcing|Recruiting|Service Providers,195858,operating,GBR,H9,London,London,1,0
Accuvant,http://www.accuvant.com,Security,8198838,acquired,USA,CO,Denver,Denver,4,1
AccuVein,http://www.accuvein.com,Hardware + Software,30500000,operating,USA,NY,Long Island,Huntington Station,2,1
Accuwater,http://www.accuwater.com/,Information Technology,25000,operating,USA,TX,Austin,Austin,1,0
ACE,http://argentumce.com,Biotechnology|Medical,1245092,operating,USA,PA,Pittsburgh,Pittsburgh,3,0
ACE*COMM,http://www.acecomm.com,Public Relations,5000000,operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1
Ace Metrix,http://www.acemetrix.com,Advertising,24980307,operating,USA,CA,Los Angeles,El Segundo,6,1
ACE Portal,http://www.ACEportal.com,Finance|FinTech|Marketplaces|Nonprofits,75000,operating,USA,NY,New York City,New York,1,0
ACEA BIO,http://www.aceabio.com/main.aspx,Biotechnology,30000000,operating,USA,CA,San Diego,San Diego,1,1
Aceable,http://www.aceable.com,Education|Mobile Commerce|Technical Continuing Education,4700000,operating,USA,TX,Austin,Austin,2,1
Acelero Learning,http://www.acelero.net/,Education|Online Education|Services,4000000,operating,USA,NY,New York City,New York,1,1
ACell,http://acell.com,Health and Wellness,8700000,operating,USA,MD,Baltimore,Columbia,1,1
AcelRx Pharmaceuticals,http://www.acelrx.com,Biotechnology|Health Care,93654902,ipo,USA,CA,SF Bay Area,Redwood City,5,1
Acendi Interactive,http://www.acendi.com,Security,2090000,closed,USA,CA,SF Bay Area,San Francisco,1,0
Acer Therapeutics,http://www.acertx.com/,Pharmaceuticals,2100000,operating,USA,MA,Boston,Cambridge,1,0
Acera Surgical,http://acerasurgical.com,Health Care,600000,operating,USA,MO,St. Louis,St Louis,1,0
Aceris 3D Inspection,http://www.aceris-3d.ca,Semiconductors,4880000,closed,CAN,QC,Montreal,Montréal,1,1
Acesis,http://www.acesis.com,Health Care|Physicians|Software,3638201,operating,USA,CA,SF Bay Area,Mountain View,1,1
Acetylon Pharmaceuticals,http://www.acetylon.com,Biotechnology,151250000,operating,USA,MA,Boston,Boston,6,1
Achaogen,http://www.achaogen.com,Biotechnology|Health Care,116605707,ipo,USA,CA,SF Bay Area,South San Francisco,4,1
Achates Power,http://achatespower.com,Clean Technology,54300000,operating,USA,CA,San Diego,San Diego,3,1
Acheive CCA,http://www.achievecca.com,Finance,5000000,closed,USA,IN,Louisville,Evansville,1,1
Achelios Therapeutics,http://www.achelios.com,Biotechnology,3170442,operating,USA,NC,Raleigh,Chapel Hill,1,0
